YEAR,NAME,TEAM,IP,pLI,playerid
2012,Joel Hanrahan,Pirates,59.2,1.83,2186
2011,Javier Lopez,Giants,53,1.48,1663
2011,Neftali Feliz,Rangers,62.1,1.6,18
2011,Drew Storen,Nationals,75.1,1.82,6983
2011,Luke Gregerson,Padres,55.2,1.38,4090
2012,Jason Motte,Cardinals,72,1.69,5861
2014,Hector Rondon,Cubs,52.1,1.7,2391
2013,Craig Stammen,Nationals,81.2,1.02,7274
2011,Aaron Crow,Royals,62,1.72,10149
2014,Glen Perkins,Twins,55.1,1.88,8041
2012,Jordan Norberto,Athletics,52,1.01,8432
2013,Edward Mujica,Cardinals,64.2,1.76,3970
2011,Mark Melancon,Astros,74.1,1.6,4264
2011,Brandon League,Mariners,61.1,1.88,3731
2011,Wilton Lopez,Astros,71,1.14,4227
2011,Chris Sale,White Sox,71,1.55,10603
2012,Joe Nathan,Rangers,64.1,1.62,1122
2012,Brad Lincoln,- - -,64.1,0.86,4241
2012,Rafael Betancourt,Rockies,57.2,2,177
2013,Vin Mazzaro,Pirates,73.2,0.99,5231
2013,Tommy Hunter,Orioles,86.1,1.29,1157
2014,Todd Redmond,Blue Jays,70.1,0.54,9943
2012,J.J. Putz,Diamondbacks,54.1,1.72,1795
2014,Kenley Jansen,Dodgers,54.1,2.06,3096
2014,Scott Atchison,Indians,60.2,1.11,2642
2013,Brett Cecil,Blue Jays,60.2,1.1,2660
2013,Anthony Varvaro,Braves,73.1,0.53,2385
2012,Santiago Casilla,Giants,63.1,1.77,2873
2012,Ryan Mattheus,Nationals,66.1,1.02,7169
2014,Aaron Loup,Blue Jays,60,1.3,10343
2011,Kenley Jansen,Dodgers,53.2,0.95,3096
2012,Jared Hughes,Pirates,75.2,0.94,9325
2014,Jake Petricka,White Sox,63,1.45,10534
2013,Dane de la Rosa,Angels,72.1,1.1,10095
2013,J.J. Hoover,Reds,66,1.35,9037
2011,Louis Coleman,Royals,59.2,1.24,9720
2013,Alfredo Simon,Reds,87.2,0.86,2155
2011,Rafael Betancourt,Rockies,62.1,1.19,177
2012,Tom Gorzelanny,Nationals,68.1,0.82,6244
2014,Shawn Tolleson,Rangers,62,0.84,10481
2013,Will Harris,Diamondbacks,52.2,0.83,3192
2013,Anthony Swarzak,Twins,96,0.68,7466
2013,Yoervis Medina,Mariners,68,1.71,10498
2013,Ryan Webb,Marlins,80.1,1.07,7474
2012,Jason Grilli,Pirates,58.2,1.68,521
2013,Jonathan Papelbon,Phillies,61.2,1.83,5975
2011,Joel Peralta,Rays,67.2,1.31,2332
2013,LaTroy Hawkins,Mets,70.2,1.17,729
2011,Jonathan Papelbon,Red Sox,64.1,1.69,5975
2013,Jim Johnson,Orioles,70.1,2.23,3656
2011,Joaquin Benoit,Tigers,61,1.54,1437
2012,Jose Arredondo,Reds,61,0.88,4722
2012,Joe Smith,Indians,67,1.2,3281
2012,Greg Holland,Royals,67,1.84,7196
2011,Edward Mujica,Marlins,76,1.23,3970
2011,Jeff Samardzija,Cubs,88,1.01,3254
2011,Jordan Walden,Angels,60.1,2.51,3271
2011,Rich Thompson,Angels,54,0.66,6422
2014,Francisco Rodriguez,Brewers,60,1.49,1642
2011,Matt Lindstrom,Rockies,54,1.38,4604
2011,Rafael Perez,Indians,63,1.02,4078
2013,Jose Veras,- - -,62.2,1.58,2063
2013,Jamey Wright,Rays,68.1,0.72,715
2012,Edward Mujica,- - -,65.1,1.29,3970
2011,Tony Sipp,Indians,62.1,1.32,8280
2013,Robbie Ross,Rangers,62.1,1.29,6819
2012,Burke Badenhop,Rays,62.1,0.76,9736
2012,J.P. Howell,Rays,50.1,0.67,8245
2014,Junichi Tazawa,Red Sox,56,1.55,4079
2012,Brandon Lyon,- - -,61,0.95,1312
2012,Chad Durbin,Braves,61,0.84,1442
2013,Rafael Soriano,Nationals,66.2,1.67,1100
2014,Seth Maness,Cardinals,66.2,0.89,12235
2011,Brian Wilson,Giants,55,2.24,6485
2013,Matt Lindstrom,White Sox,60.2,1.33,4604
2012,Brandon League,- - -,72,1.57,3731
2013,Josh Collmenter,Diamondbacks,92,1.32,7312
2013,Sean Doolittle,Athletics,69,1.43,1581
2012,Sam LeCure,Reds,57.1,0.91,4664
2013,Matt Albers,Indians,63,0.51,4300
2013,A.J. Ramos,Marlins,80,1,8350
2013,Jerry Blevins,Athletics,60,0.86,7841
2011,Jamey Wright,Mariners,68.1,1.13,715
2013,Junichi Tazawa,Red Sox,68.1,1.34,4079
2011,David Pauley,- - -,74,0.99,3625
2014,Samuel Deduno,Twins,51,0.63,5285
2011,Ryan Webb,Marlins,50.2,1.23,7474
2013,Steve Delabar,Blue Jays,58.2,1.33,11827
2012,Jonny Venters,Braves,58.2,1.23,7175
2011,Jose Arredondo,Reds,53,1.1,4722
2011,Logan Ondrusek,Reds,61.1,1.3,3677
2013,Bryan Shaw,Indians,75,1.03,8110
2012,James Russell,Cubs,69.1,1,4089
2012,Josh Roenicke,Rockies,88.2,0.73,3241
2011,Matt Belisle,Rockies,72,1.22,1837
2012,Mike Adams,Rangers,52.1,1.63,1937
2012,Wesley Wright,Astros,52.1,0.9,5960
2012,Brett Myers,- - -,65.1,1.64,962
2011,David Herndon,Phillies,57,1.06,9264
2011,Sam LeCure,Reds,57,0.73,4664
2011,Chris Perez,Indians,59.2,2.15,5213
2011,Matt Thornton,White Sox,59.2,1.48,1918
2013,Dale Thayer,Padres,65,1.1,5032
2011,Daniel Bard,Red Sox,73,1.69,7115
2011,Marc Rzepczynski,- - -,62,1.2,6612
2014,Brad Ziegler,Diamondbacks,64.2,1.8,7293
2011,Kerry Wood,Cubs,51,1.74,304
2014,Neal Cotts,Rangers,56.1,1.23,1797
2012,Tim Collins,Royals,69.2,1.12,3164
2011,Cristhian Martinez,Braves,77.2,0.65,5337
2011,David Hernandez,Diamondbacks,69.1,1.62,4259
2014,Jeanmar Gomez,Pirates,58.2,0.83,9033
2013,Fernando Rodney,Rays,66.2,2.19,494
2012,Tony Watson,Pirates,53.1,1.08,3132
2013,Joel Peralta,Rays,71.1,1.55,2332
2012,Carlos Marmol,Cubs,55.1,1.33,2790
2014,Tommy Kahnle,Rockies,63,0.75,11384
2012,Alexi Ogando,Rangers,63,1.25,10261
2011,Mike Dunn,Marlins,63,1.12,9948
2012,Dale Thayer,Padres,57.2,1.24,5032
2014,Casey Fien,Twins,55,1.29,3926
2011,Hisanori Takahashi,Angels,68,0.99,10091
